X-One Reference,Amount,Currency,Buy/Sell,Instrument Name,Product Price,Maturity Date,Trade Date,Option Type,Strike,Broker Fees,Broker Fees Ccy,Underlying Name
ELI-874288391,560,KRW,Buy,EquityListedOption,0.7,42593,42555,P,235,0,USD,KS200
ELI-854792422,9481,KRW,Sell,EquityFuture,249.5,42530,42482,,,,,KS200
ELI-854792421,1370,KRW,Buy,EquityListedOption,6.85,43083,42482,P,210,0,USD,KS200
ELI-854041002,17430,KRW,Buy,EquityFuture,249,42530,42480,,,,,KS200
ELI-854041001,930,KRW,Buy,EquityListedOption,4.65,43083,42480,C,300,0,USD,KS200
ELI-854041000,4000,KRW,Sell,EquityListedOption,20,43083,42480,C,250,1101,USD,KS200
ELI-851052683,7305,KRW,Buy,EquityFuture,243.5,42530,42467,,,,,KS200
ELI-851052682,90,KRW,Buy,EquityListedOption,0.45,42621,42467,C,275,0,USD,KS200
ELI-851052681,295,KRW,Sell,EquityListedOption,5.9,42621,42467,C,250,0,USD,KS200
ELI-850301164,13095,KRW,Buy,EquityFuture,242.5,42530,42465,,,,,KS200
ELI-850301163,180,KRW,Buy,EquityListedOption,0.45,42621,42465,C,275,0,USD,KS200
ELI-848360919,8347,KRW,Sell,EquityFuture,245.5,42530,42454,,,,,KS200
ELI-848360451,8347,KRW,Sell,EquityFuture,245.5,42530,42454,,,,,KS200
ELI-848360329,1227.5,KRW,Buy,EquityFuture,245.5,42530,42454,,,,,KS200
ELI-848360328,570,KRW,Sell,EquityListedOption,5.7,42530,42454,P,245,0,USD,KS200
ELI-847799949,6888,KRW,Buy,EquityFuture,246,42530,42452,,,,,KS200
ELI-847778836,325,KRW,Buy,EquityListedOption,3.25,42712,42452,P,210,0,USD,KS200
ELI-847455161,7872,KRW,Buy,EquityFuture,246,42530,42451,,,,,KS200
ELI-847450393,9102,KRW,Buy,EquityFuture,246,42530,42451,,,,,KS200
ELI-847450389,170,KRW,Buy,EquityListedOption,3.4,42712,42451,P,210,0,USD,KS200
ELI-847450387,167.5,KRW,Buy,EquityListedOption,3.35,42712,42451,P,210,0,USD,KS200
ELI-847138456,5134.5,KRW,Buy,EquityFuture,244.5,42530,42450,,,,,KS200
ELI-847138455,245,KRW,Buy,EquityListedOption,4.9,42712,42450,P,220,0,USD,KS200
ELI-847136964,3675,KRW,Buy,EquityFuture,245,42530,42450,,,,,KS200
ELI-847132305,3675,KRW,Buy,EquityFuture,245,42530,42450,,,,,KS200
ELI-846527241,44375,HKD,Sell,EquityFuture,8875,42459,42447,,,,,HSCE
ELI-846526867,213600,HKD,Buy,EquityFuture,8900,42459,42447,,,,,HSCE
ELI-846526861,60000,HKD,Sell,EquityListedOption,400,42733,42447,C,9400,,,HSCE
ELI-846548713,319500,HKD,Sell,EquityFuture,8875,42459,42447,,,,,HSCE
ELI-846548712,228000,HKD,Buy,EquityListedOption,760,42733,42447,P,8600,,,HSCE
ELI-846548711,240000,HKD,Buy,EquityListedOption,800,42733,42447,C,8600,10650,HKD,HSCE
ELI-846546081,38200,HKD,Sell,EquityListedOption,191,42733,42447,C,10400,3540,HKD,HSCE
ELI-846546082,354000,HKD,Buy,EquityFuture,8850,42459,42447,,,,,HSCE
ELI-846543399,319500,HKD,Sell,EquityFuture,8875,42459,42447,,,,,HSCE
ELI-846543398,225000,HKD,Buy,EquityListedOption,750,42733,42447,P,8600,,,HSCE
ELI-846543397,243600,HKD,Buy,EquityListedOption,812,42733,42447,C,8600,10650,HKD,HSCE
ELI-846515777,159300,HKD,Buy,EquityFuture,8850,42459,42447,,,,,HSCE
ELI-846515776,20700,HKD,Sell,EquityListedOption,69,42733,42447,C,11600,5310,HKD,HSCE
ELI-846515644,53250,HKD,Sell,EquityFuture,8875,42459,42447,,,,,HSCE
ELI-846515643,41800,HKD,Buy,EquityListedOption,760,42733,42447,P,8600,,,HSCE
ELI-846515642,44660,HKD,Buy,EquityListedOption,812,42733,42447,C,8600,1952,HKD,HSCE
ELI-845748687,5357,KRW,Buy,EquityFuture,243.5,42530,42445,,,,,KS200
ELI-845748686,275,KRW,Buy,EquityListedOption,5.5,42712,42445,P,220,0,USD,KS200
ELI-845739686,710,KRW,Sell,EquityListedOption,7.1,42530,42445,P,245,0,USD,KS200
ELI-844356390,379.5,KRW,Buy,EquityListedOption,3.45,42621,42439,P,215,0,USD,KS200
ELI-844356125,4820,KRW,Buy,EquityFuture,241,42530,42439,,,,,KS200
ELI-844032805,720,KRW,Buy,EquityListedOption,3.6,42621,42438,P,215,0,USD,KS200
ELI-844032806,4790,KRW,Buy,EquityFuture,239.5,42530,42438,,,,,KS200
ELI-844033715,8126,KRW,Buy,EquityFuture,239,42530,42438,,,,,KS200
ELI-844033714,300,KRW,Sell,EquityListedOption,3,42712,42438,C,270,0,USD,KS200
ELI-844033713,480,KRW,Buy,EquityListedOption,4.8,42712,42438,P,210,493,USD,KS200
ELI-843372941,7215,KRW,Buy,EquityFuture,240.5,42439,42436,,,,,KS200
ELI-843372940,800,KRW,Sell,EquityListedOption,8,43083,42436,P,200,0,USD,KS200
ELI-843374622,4820,KRW,Sell,EquityFuture,241,42439,42436,,,,,KS200
ELI-843374621,390,KRW,Sell,EquityListedOption,2.6,42712,42436,C,275,0,KRW,KS200
ELI-843373213,14911,KRW,Buy,EquityFuture,240.5,42439,42436,,,,,KS200
ELI-843373212,180,KRW,Sell,EquityListedOption,0.9,42502,42436,C,255,0,USD,KS200
ELI-843373211,157,KRW,Buy,EquityListedOption,1.57,42502,42436,P,225,0,USD,KS200
ELI-843373033,4810,KRW,Sell,EquityFuture,240.5,42439,42436,,,,,KS200
ELI-843370505,14911,KRW,Buy,EquityFuture,240.5,42439,42436,,,,,KS200
ELI-843370504,180,KRW,Sell,EquityListedOption,0.9,42502,42436,C,255,0,USD,KS200
ELI-843370503,157,KRW,Buy,EquityListedOption,1.57,42502,42436,P,225,0,USD,KS200
ELI-843000538,3120,KRW,Sell,EquityFuture,240,42439,42433,,,,,KS200
ELI-842674572,810,KRW,Sell,EquityListedOption,5.4,42712,42432,C,260,0,USD,KS200
ELI-842672827,17760,KRW,Buy,EquityFuture,240,42439,42432,,,,,KS200
ELI-842672826,740,KRW,Sell,EquityListedOption,3.7,42712,42432,C,270,0,USD,KS200
ELI-842336939,1192.5,KRW,Buy,EquityFuture,238.5,42439,42431,,,,,KS200
ELI-842336938,93,KRW,Sell,EquityListedOption,0.93,42530,42431,P,200,0,USD,KS200
ELI-842336937,92,KRW,Sell,EquityListedOption,0.92,42530,42431,P,200,0,USD,KS200
ELI-839627888,675,KRW,Sell,EquityListedOption,6.75,43083,42419,C,280,0,USD,KS200
ELI-839627889,10787,KRW,Buy,EquityFuture,234.5,42439,42419,,,,,KS200
ELI-838166291,937.5,KRW,Buy,EquityListedOption,18.75,42894,42415,C,230,0,USD,KS200
ELI-838166290,1520,KRW,Sell,EquityListedOption,15.2,42712,42415,P,230,0,USD,KS200
ELI-838166289,1605,KRW,Sell,EquityListedOption,16.05,42712,42415,C,230,0,USD,KS200
ELI-838166287,2985,KRW,Buy,EquityListedOption,19.9,42894,42415,P,230,0,USD,KS200
ELI-838166286,1402.5,KRW,Buy,EquityListedOption,18.7,42894,42415,C,230,0,USD,KS200
ELI-838166285,1406.25,KRW,Buy,EquityListedOption,18.75,42894,42415,C,230,0,USD,KS200
ELI-838166284,2280,KRW,Sell,EquityListedOption,15.2,42712,42415,P,230,0,USD,KS200
ELI-834781651,8226,KRW,Buy,EquityFuture,228.5,42439,42403,,,,,KS200
ELI-834781650,65,KRW,Sell,EquityListedOption,0.65,42530,42403,C,260,0,USD,KS200
ELI-834781649,60,KRW,Sell,EquityListedOption,0.6,42530,42403,C,260,0,USD,KS200
ELI-834413490,5126,KRW,Buy,EquityFuture,233,42439,42402,,,,,KS200
ELI-834414889,1010,KRW,Buy,EquityListedOption,10.1,43083,42402,P,200,0,USD,KS200
ELI-834417556,5126,KRW,Buy,EquityFuture,233,42439,42402,,,,,KS200
ELI-833695691,121500,HKD,Buy,EquityListedOption,1215,43097,42398,P,8000,,,HSCE
ELI-833688297,32800,HKD,Buy,EquityListedOption,328,42459,42398,P,8000,,,HSCE
ELI-833641488,216000,HKD,Sell,EquityListedOption,960,42733,42398,P,8200,,,HSCE
ELI-833641894,121000,HKD,Sell,EquityListedOption,1210,43097,42398,P,8000,,,HSCE
ELI-833641485,152700,HKD,Sell,EquityListedOption,2545,43097,42398,P,19000,,,HANGSENG
ELI-833641484,138000,HKD,Sell,EquityListedOption,2300,43097,42398,C,19000,,,HANGSENG
ELI-833641483,69600,HKD,Buy,EquityListedOption,1160,42550,42398,P,19000,,,HANGSENG
ELI-832270109,76500,HKD,Sell,EquityListedOption,255,42426,42394,P,8000,,,HSCE
ELI-829133338,5290,KRW,Sell,EquityFuture,230,42439,42383,,,,,KS200
ELI-828788674,258000,HKD,Sell,EquityListedOption,860,42733,42382,P,8200,,,HSCE
ELI-828788673,297000,HKD,Sell,EquityListedOption,990,42733,42382,C,8200,,,HSCE
ELI-828801552,136000,HKD,Sell,EquityListedOption,272,42550,42382,P,7000,,,HSCE
ELI-828796663,16700,HKD,Buy,EquityListedOption,167,42550,42382,C,9800,,,HSCE
ELI-828757761,131200,HKD,Sell,EquityListedOption,656,42550,42382,P,8400,0,HKD,HSCE
ELI-828763500,28600,HKD,Sell,EquityListedOption,143,42550,42382,C,10000,,,HSCE
ELI-824777834,55400,HKD,Buy,EquityListedOption,554,42397,42361,C,21800,8740,HKD,HANGSENG
ELI-824777835,47200,HKD,Buy,EquityListedOption,472,42397,42361,P,21800,,,HANGSENG
ELI-824009379,9101,KRW,Buy,EquityFuture,239.5,42439,42359,,,,,KS200
ELI-824009377,790,KRW,Buy,EquityListedOption,7.9,43083,42359,P,200,0,USD,KS200
ELI-821435882,1000,KRW,Sell,EquityListedOption,10,42530,42349,P,240,0,USD,KS200
ELI-821435880,3316.5,KRW,Sell,EquityListedOption,10.05,42530,42349,P,240,0,USD,KS200
ELI-821435883,4790,KRW,Buy,EquityFuture,239.5,42439,42349,,,,,KS200
ELI-821437524,13833,KRW,Sell,EquityFuture,238.5,42439,42349,,,,,KS200
ELI-821437523,380,KRW,Sell,EquityListedOption,3.8,42439,42349,P,230,0,USD,KS200
ELI-821440624,100,KRW,Buy,EquityListedOption,1,42530,42349,C,265,0,USD,KS200
ELI-821440822,100,KRW,Buy,EquityListedOption,1,42530,42349,C,265,0,USD,KS200
ELI-821440820,100,KRW,Buy,EquityListedOption,1,42530,42349,C,265,0,USD,KS200
ELI-821440828,6466.5,KRW,Sell,EquityFuture,239.5,42439,42349,,,,,KS200
ELI-817227198,21692,KRW,Buy,EquityFuture,246.5,42348,42332,,,,,KS200
ELI-817227202,10846,KRW,Buy,EquityFuture,246.5,42348,42332,,,,,KS200
ELI-816993345,2964,KRW,Buy,EquityFuture,247,42348,42331,,,,,KS200
ELI-816993190,4940,KRW,Buy,EquityFuture,247,42348,42331,,,,,KS200
ELI-816683353,4900,KRW,Buy,EquityFuture,245,42348,42328,,,,,KS200
ELI-816683352,297.5,KRW,Buy,EquityListedOption,5.95,42383,42328,P,245,0,USD,KS200
ELI-816683351,295,KRW,Buy,EquityListedOption,5.9,42383,42328,P,245,0,USD,KS200
ELI-816683410,116,KRW,Sell,EquityListedOption,1.16,42348,42328,P,240,0,USD,KS200
ELI-816386597,3416,KRW,Sell,EquityFuture,244,42348,42327,,,,,KS200
ELI-816386596,8,KRW,Buy,EquityListedOption,0.08,42411,42327,C,277.5,0,USD,KS200
ELI-816386595,7,KRW,Buy,EquityListedOption,0.07,42411,42327,C,277.5,0,USD,KS200
ELI-816386294,21271.5,KRW,Sell,EquityFuture,244.5,42348,42327,,,,,KS200
ELI-815755461,9922,KRW,Sell,EquityFuture,242,42348,42325,,,,,KS200
ELI-815755458,245,KRW,Buy,EquityListedOption,2.45,42530,42325,C,265,0,USD,KS200
ELI-815755456,520,KRW,Sell,EquityListedOption,5.2,42530,42325,P,225,516.8732,USD,KS200
ELI-815724703,26136,KRW,Sell,EquityFuture,242,42348,42325,,,,,KS200
ELI-815724702,2800,KRW,Sell,EquityListedOption,7,43083,42325,C,290,0,USD,KS200
ELI-815722217,3388,KRW,Sell,EquityFuture,242,42348,42325,,,,,KS200
ELI-815722216,170,KRW,Sell,EquityListedOption,0.85,42383,42325,P,220,0,USD,KS200
ELI-815722215,20,KRW,Buy,EquityListedOption,0.2,42348,42325,P,220,0,USD,KS200
ELI-815718824,5082,KRW,Sell,EquityFuture,242,42348,42325,,,,,KS200
ELI-815718686,1694,KRW,Sell,EquityFuture,242,42348,42325,,,,,KS200
ELI-815718683,12.5,KRW,Buy,EquityListedOption,0.25,42348,42325,P,220,0,USD,KS200
ELI-815718821,37.5,KRW,Buy,EquityListedOption,0.25,42348,42325,P,220,0,USD,KS200
ELI-815718684,15,KRW,Buy,EquityListedOption,0.3,42348,42325,P,220,0,USD,KS200
ELI-815718822,45,KRW,Buy,EquityListedOption,0.3,42348,42325,P,220,0,USD,KS200
ELI-815718685,95,KRW,Sell,EquityListedOption,0.95,42383,42325,P,220,0,USD,KS200
ELI-815430931,3856,KRW,Sell,EquityFuture,241,42348,42324,,,,,KS200
ELI-815430930,295,KRW,Sell,EquityListedOption,2.95,42530,42324,P,210,514,USD,KS200
ELI-815428318,3367,KRW,Sell,EquityFuture,240.5,42348,42324,,,,,KS200
ELI-815428317,250,KRW,Sell,EquityListedOption,1.25,42383,42324,P,220,0,USD,KS200
ELI-815428316,45,KRW,Buy,EquityListedOption,0.45,42348,42324,P,220,0,USD,KS200
ELI-815421564,9158,KRW,Buy,EquityFuture,241,42348,42324,,,,,KS200
ELI-815421548,1928,KRW,Buy,EquityFuture,241,42348,42324,,,,,KS200
ELI-815421547,650,KRW,Buy,EquityListedOption,6.5,42383,42324,P,240,0,USD,KS200
ELI-815098064,976,KRW,Buy,EquityFuture,244,42348,42321,,,,,KS200
ELI-815098063,1915,KRW,Buy,EquityListedOption,19.15,42712,42321,P,250,0,USD,KS200
ELI-815098062,1270,KRW,Buy,EquityListedOption,12.7,42712,42321,C,250,0,USD,KS200
ELI-814766914,1968,KRW,Sell,EquityFuture,246,42348,42320,,,,,KS200
ELI-814764380,19885.5,KRW,Sell,EquityFuture,245.5,42348,42320,,,,,KS200
ELI-814764501,4920,KRW,Sell,EquityFuture,246,42348,42320,,,,,KS200
ELI-814764500,260,KRW,Sell,EquityListedOption,1.3,42439,42320,P,215,0,USD,KS200
ELI-814764382,4920,KRW,Sell,EquityFuture,246,42348,42320,,,,,KS200
ELI-814509441,36900,KRW,Buy,EquityFuture,246,42348,42319,,,,,KS200
ELI-814509440,210,KRW,Sell,EquityListedOption,1.4,42320,42319,C,245,0,USD,KS200
ELI-814179518,123250,KRW,Buy,EquityFuture,246.5,42348,42318,,,,,KS200
ELI-814179517,1000,KRW,Sell,EquityListedOption,2,42320,42318,C,245,0,USD,KS200
ELI-814179516,220,KRW,Buy,EquityListedOption,0.88,42320,42318,P,245,0,USD,KS200
ELI-814179515,217.5,KRW,Buy,EquityListedOption,0.87,42320,42318,P,245,0,USD,KS200
ELI-813864694,13527,KRW,Buy,EquityFuture,250.5,42348,42317,,,,,KS200
ELI-813864693,288,KRW,Sell,EquityListedOption,0.48,42383,42317,P,220,0,USD,KS200
ELI-813858625,150,KRW,Buy,EquityListedOption,1.5,42439,42317,P,220,0,USD,KS200
ELI-813858626,400,KRW,Sell,EquityListedOption,2,42530,42317,P,210,0,USD,KS200
ELI-813859090,300,KRW,Buy,EquityListedOption,1.5,42320,42317,C,250,0,USD,KS200
ELI-813859101,50080,KRW,Sell,EquityFuture,250.4,42348,42317,,,,,KS200
ELI-936515119,80900,HKD,Sell,EquityListedOption,809,43462,42808,P,19000,3577,HKD,HANGSENG
ELI-936553600,240900,HKD,Sell,EquityListedOption,803,43462,42808,P,19000,10732,HKD,HANGSENG
ELI-932589235,176179200,JPY,Sell,EquitySecurity,3552,,42790,,,,,HONDA
ELI-932581818,2618750,HKD,Sell,EquityFuture,10475,42824,42790,,,7852,HKD,HSCE
ELI-932265705,1575000,HKD,Buy,EquityFuture,10500,42793,42789,,,2362,HKD,HSCE
ELI-932265452,2637500,HKD,Buy,EquityFuture,10550,42793,42789,,,3956,HKD,HSCE
ELI-899026969,193500,HKD,Buy,EquityFuture,9675,42671,42655,,,1209,HKD,HSCE
ELI-975599312,700,EUR,Buy,EquityListedOption,0.35,42965,42965,P,130,,,SX7E
ELI-975599310,2350,EUR,Sell,EquityListedOption,2.35,42965,42965,C,130,,,SX7E
ELI-975599311,2400,EUR,Sell,EquityListedOption,2.4,42965,42965,C,130,,,SX7E
ELI-959427591,39662.7,EUR,Sell,EquityFuture,130.9,42993,42900,,,,,SX7E
ELI-959427593,51848.2,EUR,Sell,EquityFuture,130.6,42993,42900,,,,,SX7E
ELI-959427592,91840,EUR,Buy,EquityFuture,131.2,42902,42900,,,350,EUR,SX7E
ELI-959494257,243936,EUR,Sell,EquityFuture,423.5,42902,42901,,,,,SX8P
ELI-959494258,27097.6,EUR,Sell,EquityFuture,423.4,42902,42901,,,678,EUR,SX8P
ELI-959493883,36300.6,EUR,Buy,EquityFuture,288.1,42902,42901,,,908,EUR,SXMP
ELI-959493882,326818.8,EUR,Buy,EquityFuture,288.2,42902,42901,,,,,SXMP
ELI-959487735,54151.5,EUR,Sell,EquityFuture,277.7,42902,42901,,,,,SXIP
ELI-959487737,126308,EUR,Sell,EquityFuture,277.6,42902,42901,,,451,EUR,SXIP
ELI-959486330,163706.4,EUR,Sell,EquityFuture,551.2,42902,42901,,,681,EUR,SXAP
ELI-959486328,108606.1,EUR,Sell,EquityFuture,551.3,42902,42901,,,,,SXAP
ELI-959482920,76869,EUR,Buy,EquityFuture,284.7,42902,42901,,,320,EUR,SX6E
ELI-959482919,51264,EUR,Buy,EquityFuture,284.8,42902,42901,,,,,SX6E
ELI-959059808,1537200,EUR,Sell,EquityFuture,256.2,42902,42900,,,,,SXIE
ELI-959059807,384150,EUR,Sell,EquityFuture,256.1,42902,42900,,,4805,EUR,SXIE
ELI-959059684,550375,EUR,Buy,EquityFuture,297.5,42902,42900,,,2752,EUR,STOXENGY
ELI-959059683,550560,EUR,Buy,EquityFuture,297.6,42902,42900,,,,,STOXENGY
ELI-959059666,357001.2,EUR,Buy,EquityFuture,302.8,42902,42900,,,,,STOXTCOM
ELI-959059667,832727.7,EUR,Buy,EquityFuture,302.7,42902,42900,,,2975,EUR,STOXTCOM
ELI-959059834,760408.8,EUR,Sell,EquityFuture,941.1,42902,42900,,,,,SX4P
ELI-959059835,506258,EUR,Sell,EquityFuture,941,42902,42900,,,3166,EUR,SX4P
ELI-957440404,466830,EUR,Sell,EquityFuture,518.7,42993,42894,,,,,SXNP
ELI-957440405,468360,EUR,Buy,EquityFuture,520.4,42902,42894,,,450,EUR,SXNP
ELI-957198494,312000,EUR,Buy,EquityFuture,130,42993,42893,,,,,SX7E
ELI-957198492,77940,EUR,Buy,EquityFuture,129.9,42993,42893,,,,,SX7E
ELI-957198495,391500,EUR,Sell,EquityFuture,130.5,42902,42893,,,1500,EUR,SX7E
ELI-952873073,85600,EUR,Buy,EquityFuture,214,42902,42874,,,,,MSDEE15N
ELI-952873072,128340,EUR,Buy,EquityFuture,213.9,42902,42874,,,1070,EUR,MSDEE15N
ELI-951756019,152183,CHF,Sell,EquityFuture,152.183,42874,42871,,,,,KUEHNE-NAGEL
ELI-949723356,140000,EUR,Sell,EquityFuture,140,42902,42863,,,500,EUR,SX7E
ELI-949723645,1500,EUR,Sell,EquityListedOption,1.5,42874,42863,P,140,,,SX7E
ELI-949723647,1750,EUR,Buy,EquityListedOption,3.5,42874,42863,C,140,,,SX7E
ELI-949723648,1775,EUR,Buy,EquityListedOption,3.55,42874,42863,C,140,,,SX7E
ELI-947633499,242960,EUR,Sell,EquityFuture,303.7,42902,42852,,,0,EUR,STOXENGY
ELI-947633498,60720,EUR,Sell,EquityFuture,303.6,42902,42852,,,759.2,EUR,STOXENGY
ELI-947633500,64950,EUR,Buy,EquityFuture,129.9,42902,42852,,,0,EUR,SX7E
ELI-947633497,584100,EUR,Buy,EquityFuture,129.8,42902,42852,,,1622.63,EUR,SX7E
ELI-939735898,74368,EUR,Buy,EquityFuture,265.6,42902,42818,,,,,SXIP
ELI-939735899,297360,EUR,Buy,EquityFuture,265.5,42902,42818,,,,,SXIP
ELI-938251483,810204.8,SEK,Buy,EquityFuture,101.2756,42846,42814,,,6600,SEK,SE-BANKEN-A
ELI-937114152,236502,EUR,Buy,EquityFuture,563.1,42811,42809,,,,,SXAP
ELI-937114153,2128140,EUR,Buy,EquityFuture,563,42811,42809,,,5913,EUR,SXAP
ELI-936733200,75850,EUR,Buy,EquityFuture,303.4,42902,42808,,,,,SXEE
ELI-936724636,155550,EUR,Sell,EquityFuture,311.1,42811,42808,,,250,EUR,SXEE
ELI-936724631,75825,EUR,Buy,EquityFuture,303.3,42902,42808,,,,,SXEE
ELI-936711319,288480,EUR,Sell,EquityFuture,120.2,42902,42808,,,,,SX7E
ELI-936711320,370200,EUR,Buy,EquityFuture,123.4,42811,42808,,,1500,EUR,SX7E
ELI-936711321,72180,EUR,Sell,EquityFuture,120.3,42902,42808,,,,,SX7E
ELI-936729718,397300,EUR,Buy,EquityFuture,397.3,42902,42808,,,,,SX8P
ELI-936729719,402500,EUR,Sell,EquityFuture,402.5,42811,42808,,,500,EUR,SX8P
ELI-925171479,689600,EUR,Buy,EquityFuture,172.4,42811,42759,,,2174,EUR,STOXBANK
ELI-925171480,172500,EUR,Buy,EquityFuture,172.5,42811,42759,,,,,STOXBANK
ELI-916089073,212960,EUR,Sell,EquityFuture,266.2,42720,42718,,,666,EUR,SXIP
ELI-916089072,53260,EUR,Sell,EquityFuture,266.3,42720,42718,,,,,SXIP
ELI-910681415,38208,EUR,Buy,EquityFuture,159.2,42720,42697,,,,,SX86P
ELI-910681414,25456,EUR,Buy,EquityFuture,159.1,42720,42697,,,159,EUR,SX86P
ELI-904594051,132804,EUR,Buy,EquityFuture,421.6,42720,42677,,,,,SXNP
ELI-904594050,14752.5,EUR,Buy,EquityFuture,421.5,42720,42677,,,369,EUR,SXNP
ELI-904595194,61020,EUR,Sell,EquityFuture,101.7,42720,42677,,,,,SX7E
ELI-904595195,243840,EUR,Sell,EquityFuture,101.6,42720,42677,,,764,EUR,SX7E
ELI-903289947,27594,EUR,Buy,EquityFuture,394.2,42720,42671,,,,,SXFP
ELI-903289946,11829,EUR,Buy,EquityFuture,394.3,42720,42671,,,98.8325,EUR,SXFP
ELI-899850639,157824,EUR,Buy,EquityFuture,328.8,42720,42657,,,,,SXPP
ELI-899850637,39444,EUR,Buy,EquityFuture,328.7,42720,42657,,,494,EUR,SXPP
ELI-894248405,237750,EUR,Buy,EquityFuture,95.1,42720,42635,,,,,SX7E
ELI-894248406,237500,EUR,Buy,EquityFuture,95,42720,42635,,,1194,EUR,SX7E
ELI-893907500,196350,EUR,Buy,EquityFuture,93.5,42720,42634,,,705.075,EUR,SX7E
ELI-893907501,84240,EUR,Buy,EquityFuture,93.6,42720,42634,,,,,SX7E
ELI-892084897,327390,EUR,Sell,EquityFuture,311.8,42629,42627,,,818.5012,EUR,SXKE
ELI-881520976,440500,EUR,Buy,EquityFuture,88.1,42629,42583,,,1104.19,EUR,SX7E
ELI-881520731,440500,EUR,Buy,EquityFuture,88.1,42629,42583,,,1104.19,EUR,SX7E
ELI-880808351,99010000,EUR,Sell,EquitySecurity,9.901,,42579,,,,,INGN.AS_X
ELI-880535374,210240,EUR,Sell,EquityFuture,262.8,42629,42578,,,0,EUR,SX6E
ELI-880535373,52580,EUR,Sell,EquityFuture,262.9,42629,42578,,,590,EUR,SX6E
ELI-878749182,269100,EUR,Buy,EquityFuture,89.7,42629,42571,,,,,SX7E
ELI-878749181,179200,EUR,Buy,EquityFuture,89.6,42629,42571,,,1127,EUR,SX7E
ELI-877039893,304150,EUR,Buy,EquityFuture,86.9,42629,42564,,,,,SX7E
ELI-877039892,130200,EUR,Buy,EquityFuture,86.8,42629,42564,,,1092,EUR,SX7E
ELI-875524275,29010,EUR,Buy,EquityFuture,290.1,42629,42558,,,72.8625,EUR,STOXTCOM
ELI-868853536,297480,EUR,Sell,EquityFuture,268,42538,42537,,,,,SXPP
ELI-868853538,693861,EUR,Sell,EquityFuture,267.9,42538,42537,,,2478.3525,EUR,SXPP
ELI-868853528,212054.4,EUR,Sell,EquityFuture,159.2,42538,42537,,,662.58675,EUR,SXPE
ELI-868853521,52980.3,EUR,Sell,EquityFuture,159.1,42538,42537,,,,,SXPE
ELI-868346450,175593,EUR,Buy,EquityFuture,313,42538,42536,,,438,EUR,SXKE
ELI-868308327,172203.3,EUR,Sell,EquityFuture,159.3,42629,42536,,,,,SXPE
ELI-868308325,141157.5,EUR,Sell,EquityFuture,159.5,42629,42536,,,,,SXPE
ELI-868308333,314560,EUR,Buy,EquityFuture,160,42538,42536,,,983,EUR,SXPE
ELI-867999563,121483.6,EUR,Buy,EquityFuture,201.8,42629,42535,,,,,SXIE
ELI-867999566,52038.6,EUR,Buy,EquityFuture,201.7,42629,42535,,,,,SXIE
ELI-867999570,174322,EUR,Sell,EquityFuture,202.7,42538,42535,,,430,EUR,SXIE
ELI-868010672,83340,EUR,Sell,EquityFuture,277.8,42538,42535,,,,,SX6P
ELI-868010671,333240,EUR,Sell,EquityFuture,277.7,42538,42535,,,1042,EUR,SX6P
ELI-868002359,129143,EUR,Buy,EquityFuture,133,42629,42535,,,,,STOXBANK
ELI-868002363,55286.4,EUR,Buy,EquityFuture,132.9,42629,42535,,,,,STOXBANK
ELI-868002380,185858,EUR,Sell,EquityFuture,134,42538,42535,,,693,EUR,STOXBANK
ELI-867503707,462500,EUR,Buy,EquityFuture,92.5,42538,42534,,,2500,EUR,SX7E
ELI-867503708,229750,EUR,Sell,EquityFuture,91.9,42629,42534,,,,,SX7E
ELI-867503709,229500,EUR,Sell,EquityFuture,91.8,42629,42534,,,,,SX7E
ELI-863048308,161400,EUR,Sell,EquityFuture,107.6,42538,42515,,,1500,EUR,SX7E
ELI-863048307,161250,EUR,Sell,EquityFuture,107.5,42538,42515,,,,,SX7E
ELI-857734716,98700,EUR,Sell,EquityFuture,98.7,42538,42494,,,,,SX7E
ELI-857734715,147900,EUR,Sell,EquityFuture,98.6,42538,42494,,,629,EUR,SX7E
ELI-857734044,95600,EUR,Buy,EquityFuture,239,42538,42494,,,,,SXIP
ELI-857734043,23890,EUR,Buy,EquityFuture,238.9,42538,42494,,,304,EUR,SXIP
ELI-857406093,193375,EUR,Buy,EquityFuture,309.4,42538,42493,,,494,EUR,STOXTCOM
ELI-857406292,24326.4,EUR,Sell,EquityFuture,380.1,42538,42493,,,205,EUR,SXOP
ELI-857406291,57030,EUR,Sell,EquityFuture,380.2,42538,42493,,,,,SXOP
ELI-857406109,184832.2,EUR,Sell,EquityFuture,280.9,42538,42493,,,,,SXPP
ELI-857406110,123271.2,EUR,Sell,EquityFuture,280.8,42538,42493,,,772,EUR,SXPP
ELI-855025823,217800,EUR,Buy,EquityFuture,108.9,42538,42482,,,,,SX7E
ELI-855025822,326400,EUR,Buy,EquityFuture,108.8,42538,42482,,,1360.5,EUR,SX7E
ELI-854653525,172960,EUR,Buy,EquityFuture,108.1,42538,42481,,,,,SX7E
ELI-854653534,259200,EUR,Buy,EquityFuture,108,42538,42481,,,1105,EUR,SX7E
ELI-853323664,92347.5,EUR,Sell,EquityFuture,175.9,42538,42475,,,,,SX86P
ELI-853323663,107765.4,EUR,Sell,EquityFuture,175.8,42538,42475,,,500,EUR,SX86P
ELI-852717653,216300,EUR,Sell,EquityFuture,288.4,42538,42473,,,544,EUR,SXPP
