,Gender,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,value_no
565,1,0,-1,-1,-1.0,-1,1,13.401
566,1,0,1,-1,1.0,1,1,17.1411428571
567,1,3,1,-1,0.0,-1,-1,9.9512195122
568,-1,0,1,-1,1.0,1,-1,95.12
569,1,0,1,-1,0.0,1,-1,10.9592307692
570,1,1,1,-1,1.0,1,1,6.6135483871
571,1,-1,1,-1,0.0,1,-1,11.1621818182
572,1,2,1,-1,1.0,1,1,21.8173090909
573,1,2,-1,-1,1.0,0,-1,15.7219251337
574,1,3,1,-1,1.0,0,-1,15.3744
575,1,2,1,-1,1.0,1,1,2.457
576,1,0,1,-1,0.0,0,-1,8.17147058824
577,1,0,1,-1,1.0,1,1,10.5676363636
578,1,1,1,-1,1.0,-1,1,5.99551401869
579,1,0,1,-1,1.0,1,1,7.1150310559
580,1,2,1,-1,1.0,0,1,11.4848780488
581,1,0,1,-1,1.0,1,-1,7.344
582,-1,0,1,-1,1.0,0,1,31.66
583,1,1,1,-1,-1.0,-1,-1,11.0950819672
584,1,1,1,-1,0.0,-1,-1,6.87205479452
585,1,1,1,-1,1.0,-1,-1,2.09169767442
586,1,0,1,-1,1.0,1,1,7.95115384615
587,-1,0,-1,-1,1.0,0,1,11.1342857143
588,1,0,1,-1,1.0,0,1,18.1914893617
589,1,2,1,1,0.0,0,-1,9.25811320755
590,1,0,1,-1,1.0,0,1,9.64285714286
591,1,2,1,1,1.0,0,-1,7.0243902439
592,1,3,1,1,1.0,0,1,11.5360273973
593,1,0,1,-1,1.0,-1,1,4.89169014085
594,1,0,1,1,1.0,1,1,22.32
595,1,0,-1,-1,1.0,-1,1,12.5443636364
596,1,2,-1,1,1.0,-1,-1,12.2881283422
597,1,-1,1,-1,0.0,0,-1,12.2195454545
598,1,0,1,1,1.0,-1,1,19.926
599,1,2,1,-1,1.0,1,1,10.8375
600,-1,3,1,-1,-1.0,1,-1,0.213942857143
601,1,0,-1,-1,1.0,-1,1,6.7215483871
602,1,3,1,-1,1.0,1,1,16.0396875
603,1,0,1,-1,1.0,-1,1,7.69395348837
604,-1,1,1,-1,1.0,0,1,8.70967741935
606,1,1,1,-1,1.0,0,1,7.07514450867
607,1,2,-1,-1,1.0,-1,1,9.1421656051
608,1,0,1,-1,1.0,-1,1,10.7733333333
609,-1,0,1,-1,1.0,-1,1,14.7042253521
610,1,3,1,-1,1.0,-1,1,18.477
611,1,1,1,-1,1.0,1,1,11.4858498024
612,1,2,1,-1,1.0,1,1,14.5982887701
613,-1,0,1,1,0.0,0,-1,12.405112782
